[Wed Mar 25 20:42:12 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:12 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.001 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 0.001 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.001 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 0.001 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4500 | a-Rate: 0.001 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 0.001 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 0.001 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:42:13 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.001 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.001 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.001 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.001 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.001 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.5000 | a-Rate: 0.001 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4900 | a-Rate: 0.001 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 0.001 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 0.001 | C: 100.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:42:14 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.01 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 0.01 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.01 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 0.01 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4500 | a-Rate: 0.01 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 0.01 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.01 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.01 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4500 | a-Rate: 0.01 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.01 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 0.01 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.01 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.5000 | a-Rate: 0.01 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.5000 | a-Rate: 0.01 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:42:15 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 0.01 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.5200 | a-Rate: 0.01 | C: 100.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 0.1 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.1 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.1 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:42:19 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:42:20 KST 2015] Asvm-Accuracy: 0.4500 | a-Rate: 0.1 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:42:20 KST 2015] Asvm-Accuracy: 0.4500 | a-Rate: 0.1 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:42:20 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.1 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:42:20 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 0.1 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:20 KST 2015] Asvm-Accuracy: 0.4400 | a-Rate: 0.1 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:42:20 KST 2015] Asvm-Accuracy: 0.4300 | a-Rate: 0.1 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:42:20 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:42:20 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 0.1 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:20 KST 2015] Asvm-Accuracy: 0.5000 | a-Rate: 0.1 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:42:20 KST 2015] Asvm-Accuracy: 0.5100 | a-Rate: 0.1 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:42:21 KST 2015] Asvm-Accuracy: 0.5200 | a-Rate: 0.1 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:42:21 KST 2015] Asvm-Accuracy: 0.5200 | a-Rate: 0.1 | C: 100.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:21 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:21 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:42:21 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:42:21 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:42:21 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:42:21 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:42:21 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:42:21 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:42:21 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 1.0 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 1.0 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 1.0 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 1.0 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 1.0 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4400 | a-Rate: 1.0 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 1.0 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:42:22 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 1.0 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.5100 | a-Rate: 1.0 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.4700 | a-Rate: 1.0 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.6000 | a-Rate: 1.0 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.4600 | a-Rate: 1.0 | C: 100.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:42:23 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:42:24 KST 2015] Asvm-Accuracy: 0.4800 | a-Rate: 10.0 | C: 10.0 | gamma: 5.0E-4
